,Publication_ID,Drainage Basin,Location_ID,Hist_ref_code,Method_ID,Future Time Range_start,Future Time Range_end,Hist_code,Code,Clim_station,Comments,tas_djf,tas_djf_unit,tas_mam,tas_mam_unit,tas_jja,tas_jja_unit,tas_son,tas_son_unit,tmax_mam,tmax_mam_un,tmax_jja,tmax_jja_un,tmax_son,tmax_son_un,tmax_djf,tmax_djf_un,tmin_mam,tmin_mam_un,tmin_jja,tmin_jja_un,tmin_son,tmin_son_un,tmin_djf,tmin_djf_un,,pr_djf,pr_djf_unit,pr_mam,pr_mam_unit,pr_jja,pr_jja_unit,pr_son,pr_son_unit
"Wu et al., 2012",197,Pacific,19702,19702,197.02,2030,2059,NA,19702.02,,,,,,,2.81,deltaC,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19703,19703,197.02,2030,2059,NA,19703.02,,,,,,,2.98,deltaC,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19704,19704,197.02,2030,2059,NA,19704.02,,,,,,,2.96,deltaC,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19705,19705,197.02,2030,2059,NA,19705.02,,,,,,,2.81,deltaC,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19701,19701,197.03,2070,2099,NA,19701.03,,,,,,,4.46,deltaC,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19702,19702,197.03,2070,2099,NA,19702.03,,,,,,,4.51,deltaC,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19703,19703,197.03,2070,2099,NA,19703.03,,,,,,,4.77,deltaC,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19704,19704,197.03,2070,2099,NA,19704.03,,,,,,,4.79,deltaC,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wu et al., 2012",197,Pacific,19705,19705,197.03,2070,2099,NA,19705.03,,,,,,,4.55,deltaC,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.01,2021,2029,NA,3301.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.02,2031,2039,NA,3301.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.03,2061,2069,NA,3301.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.04,2091,2099,NA,3301.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.05,2071,2100,NA,3301.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.06,2021,2029,NA,3301.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.07,2031,2039,NA,3301.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.08,2061,2069,NA,3301.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.09,2091,2099,NA,3301.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crossman et al., 2013",33,St. Lawrence,3301,3301,33.1,2071,2100,NA,3301.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15801,15801,158.01,2021,2060,NA,15801.01,,,-0.8,deltaC,-4.9,deltaC,-1.3,deltaC,-2.7,deltaC,,,,,,,,,,,,,,,,,,83,%,69,%,42,%,69,%
"Shrestha et al., 2017",158,Great Slave Lake,15801,15801,158.02,2061,2100,NA,15801.02,,,0.6,deltaC,-4.1,deltaC,0.2,deltaC,-2.3,deltaC,,,,,,,,,,,,,,,,,,77,%,71,%,53,%,85,%
