,Publication_ID,Drainage Basin,Location_ID,Hist_ref_code,Method_ID,Future Time Range_start,Future Time Range_end,Hist_code,MedDlyFlo,MedDlyFlo_un,AnnSflo,AnnSflo_un,MedAnnSflo,MedAnnSflo_un,MeanFlo,MeanFlo_un,MedIMSOvMeanFlo,MedIMSOvMeanFlo_un,MedOvMeanFlo,MedOvMeanFlo_un,WaterYield,WaterYieldunit,Runoff,Runoff_un,AnnRunVol,AnnRunVol_un,MedRunoff,MedRunoff_un,MeanDlyDisch,MeanDlyDisch_un,SWE,SWE_un,Evap,Evap_un,ET,ET_un,AET,AET_un,DpAqRech,DpAqRech_un,Infilt,Infilt_un,Rech,Rech_un,Perc,Perc_un,SoilWat,SoilWat_un,MaxFlo,MaxFlo_un,HighFlo,HighFlo_un,PkDlyRunoff,PkDlyRunoff_un,AnnPkRunoff,AnnPkRunoff_un,MeanAnnMaxFlo,MeanAnnMaxFlo_un,PkFlo,PkFlo_un,MeanAnnFldPk,MeanAnnFldPk_un,Qhigh,Qhigh_un,Ann1dayMaxFlo,Ann1dayMaxFlo_un,PkSflo,PkSflo_un,HighFlow,HighFlow_un,Flood_flow,Flood_flow_un,Qp_mean,Qpmean_un,MinFlo,MinFlo_un,LowFlo,LowFlo_un,LF,LF_un,Ann1dayMinFlo,Ann1dayMinFlo_un,DateMaxFlo,DateMaxFlo_un,DatePkRunoff,DatePkRunoff_un,DateAnnMxFldPk,DateAnnMxFldPk_un,DatePkDisch,DatePkDisch_un,DayAnn1dayMaxFlo,DayAnn1dayMaxFlo_un,DatePkSflo,DatePkSflo_un,DateSprFld,DateSprFld_un,dp_mean,dpmean_un,DateMinFlo,DateMinFlo_un,DayAnn1dayMinFlo,DayAnn1dayMinFlo_un
"Eum et al., 2017",43,Great Slave Lake,4302,4302,43.04,2080s,NA,NA,,,15,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,%,,,,,,,,,,,,,,,,,,,,,,,,,91.2,%,,,,,,,-30,days change,,,,,,,,,,,,,,,4,day,,
"Eum et al., 2017",43,Great Slave Lake,4303,4303,43.01,2050s,NA,NA,,,5.2,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,%,,,,,,,,,,,,,,,,,,,,,,,,,-16,%,,,,,,,-12,days change,,,,,,,,,,,,,,,2,day,,
"Eum et al., 2017",43,Great Slave Lake,4303,4303,43.02,2080s,NA,NA,,,23.8,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,%,,,,,,,,,,,,,,,,,,,,,,,,,2.2,%,,,,,,,-12,days change,,,,,,,,,,,,,,,-5,day,,
"Eum et al., 2017",43,Great Slave Lake,4303,4303,43.03,2050s,NA,NA,,,10.9,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,%,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,%,,,,,,,-12,days change,,,,,,,,,,,,,,,-3,day,,
"Eum et al., 2017",43,Great Slave Lake,4303,4303,43.04,2080s,NA,NA,,,22.6,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,%,,,,,,,,,,,,,,,,,,,,,,,,,-8.3,%,,,,,,,-21,days change,,,,,,,,,,,,,,,-5,day,,
"Eum et al., 2017",43,Great Slave Lake,4304,4304,43.01,2050s,NA,NA,,,2.3,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,%,,,,,,,,,,,,,,,,,,,,,,,,,12.7,%,,,,,,,-10,days change,,,,,,,,,,,,,,,-2,day,,
"Eum et al., 2017",43,Great Slave Lake,4304,4304,43.02,2080s,NA,NA,,,10.6,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,%,,,,,,,,,,,,,,,,,,,,,,,,,21.5,%,,,,,,,-13,days change,,,,,,,,,,,,,,,-3,day,,
"Eum et al., 2017",43,Great Slave Lake,4304,4304,43.03,2050s,NA,NA,,,8.2,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,%,,,,,,,,,,,,,,,,,,,,,,,,,18.6,%,,,,,,,-14,days change,,,,,,,,,,,,,,,5,day,,
"Eum et al., 2017",43,Great Slave Lake,4304,4304,43.04,2080s,NA,NA,,,15.9,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,%,,,,,,,,,,,,,,,,,,,,,,,,,49.7,%,,,,,,,-27,days change,,,,,,,,,,,,,,,14,day,,
"Eum et al., 2017",43,Great Slave Lake,4305,4305,43.01,2050s,NA,NA,,,2.8,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,%,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,%,,,,,,,7,days change,,,,,,,,,,,,,,,5,day,,
"Eum et al., 2017",43,Great Slave Lake,4305,4305,43.02,2080s,NA,NA,,,11.7,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,%,,,,,,,,,,,,,,,,,,,,,,,,,11.2,%,,,,,,,4,days change,,,,,,,,,,,,,,,15,day,,
"Eum et al., 2017",43,Great Slave Lake,4305,4305,43.03,2050s,NA,NA,,,7.9,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2,%,,,,,,,,,,,,,,,,,,,,,,,,,6.1,%,,,,,,,-3,days change,,,,,,,,,,,,,,,7,day,,
"Eum et al., 2017",43,Great Slave Lake,4305,4305,43.04,2080s,NA,NA,,,12.5,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,%,,,,,,,,,,,,,,,,,,,,,,,,,4.6,%,,,,,,,-7,days change,,,,,,,,,,,,,,,-10,day,,
"Eum et al., 2017",43,Great Slave Lake,4306,4306,43.01,2050s,NA,NA,,,0.5,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,%,,,,,,,,,,,,,,,,,,,,,,,,,6.1,%,,,,,,,-13,days change,,,,,,,,,,,,,,,3,day,,
"Eum et al., 2017",43,Great Slave Lake,4306,4306,43.02,2080s,NA,NA,,,11.7,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,%,,,,,,,,,,,,,,,,,,,,,,,,,22.3,%,,,,,,,-15,days change,,,,,,,,,,,,,,,-2,day,,
