,Publication_ID,Drainage Basin,Location_ID,Hist_ref_code,Method_ID,Future Time Range_start,Future Time Range_end,Hist_code,Code,Clim_station,Comments,tas_annual,tas_annual_unit,tas_IMS_median,tas_IMS_median_un,tmax_annual,tmax_annual_un,tmin_annual,tmin_annual_un,pr_annual,pr_annual_unit,pr_IMS_median,pr_IMS_median_un
"Shrestha et al., 2017",158,Great Slave Lake,15803,15803,158.02,2061,2100,NA,15803.02,,,4.2,deltaC,,,,,,,26,%,,
"Shrestha et al., 2017",158,Great Slave Lake,15803,15803,158.03,2021,2060,NA,15803.03,,,3.7,deltaC,,,,,,,19,%,,
"Shrestha et al., 2017",158,Great Slave Lake,15803,15803,158.04,2061,2100,NA,15803.04,,,6.6,deltaC,,,,,,,25,%,,
"Shrestha et al., 2017",158,Great Slave Lake,15804,15804,158.01,2021,2060,NA,15804.01,,,2.8,deltaC,,,,,,,9,%,,
"Shrestha et al., 2017",158,Great Slave Lake,15804,15804,158.02,2061,2100,NA,15804.02,,,3.8,deltaC,,,,,,,17,%,,
"Shrestha et al., 2017",158,Great Slave Lake,15804,15804,158.03,2021,2060,NA,15804.03,,,3.2,deltaC,,,,,,,13,%,,
"Shrestha et al., 2017",158,Great Slave Lake,15804,15804,158.04,2061,2100,NA,15804.04,,,6.1,deltaC,,,,,,,20,%,,
"Shrestha et al., 2017",158,Great Slave Lake,15805,15805,158.01,2021,2060,NA,15805.01,,,1.8,deltaC,,,,,,,26,%,,
"Shrestha et al., 2017",158,Great Slave Lake,15805,15805,158.02,2061,2100,NA,15805.02,,,2.8,deltaC,,,,,,,33,%,,
"Shrestha et al., 2017",158,Great Slave Lake,15805,15805,158.03,2021,2060,NA,15805.03,,,2.2,deltaC,,,,,,,28,%,,
"Shrestha et al., 2017",158,Great Slave Lake,15805,15805,158.04,2061,2100,NA,15805.04,,,5.2,deltaC,,,,,,,41,%,,
"Shrestha et al., 2017",158,Great Slave Lake,15806,15806,158.01,2021,2060,NA,15806.01,,,,,,,,,,,25,%,,
"Shrestha et al., 2017",158,Great Slave Lake,15806,15806,158.02,2061,2100,NA,15806.02,,,,,,,,,,,33,%,,
"Shrestha et al., 2017",158,Great Slave Lake,15806,15806,158.03,2021,2060,NA,15806.03,,,,,,,,,,,27,%,,
"Shrestha et al., 2017",158,Great Slave Lake,15806,15806,158.04,2061,2100,NA,15806.04,,,,,,,,,,,37,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.01,2021,2060,NA,15901.01,,,0.5,deltaC,,,,,,,24,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.02,2021,2060,NA,15901.02,,,1.3,deltaC,,,,,,,35,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.03,2021,2060,NA,15901.03,,,0.3,deltaC,,,,,,,29,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.04,2061,2100,NA,15901.04,,,2,deltaC,,,,,,,27,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.05,2061,2100,NA,15901.05,,,2.4,deltaC,,,,,,,44,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.06,2061,2100,NA,15901.06,,,1.4,deltaC,,,,,,,35,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.07,2021,2060,NA,15901.07,,,1.1,deltaC,,,,,,,25,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.08,2021,2060,NA,15901.08,,,1.7,deltaC,,,,,,,36,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.09,2021,2060,NA,15901.09,,,0.6,deltaC,,,,,,,31,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.1,2061,2100,NA,15901.1,,,4.2,deltaC,,,,,,,28,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.11,2061,2100,NA,15901.11,,,4.9,deltaC,,,,,,,47,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.12,2061,2100,NA,15901.12,,,2.9,deltaC,,,,,,,42,%,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.01,2021,2060,NA,15902.01,,,1.5,deltaC,,,,,,,-4,%,,
