,Publication_ID,Drainage Basin,Location_ID,Hist_ref_code,Method_ID,Future Time Range_start,Future Time Range_end,Hist_code,DJFSflo,DJFSflo_un,MAMSflo,MAMSflo_un,JJASflo,JJASflo_un,SONSflo,SONSflo_un,IMS_50_DJF_strflo,unit,IMS_50_MAM_strflo,unit,IMS_50_JJA_strflo,unit,IMS_50_SON_strflo,unit,MAM_water_supply,unit,JJA_water_supply,unit,DJFRunoff,DJFRunoff_un,MAMRunoff,MAMRunoff_un,JJARunoff,JJARunoff_un,SONRunoff,SONRunoff_un,Runoff_MAM_medflowyr,Runoff_MAM_medflowyr_un,DJFET,DJFET_un,MAMET,MAMET_un,JJAET,JJAET_un,SONET,SONET_un,DJFAET,DJFAET_un,MAMAET,MAMAET_un,JJAAET,JJAAET_un,SONAET,SONAET_un,SONRech,SONRech_un,DJFRech,DJFRech_un,MAMRech,MAMRech_un,JJARech,JJARech_un,DJFSoilWat,DJFSoilWat_un,MAMSoilWat,MAMSoilWat_un,JJASoilWat,JJASoilWat_un,SONSoilWat,SONSoilWat_un
"Rahman et al., 2012",132,St. Lawrence,13201,13201,132.01,1961,1990,13201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rahman et al., 2012",132,St. Lawrence,13201,13201,132.02,2041,2070,NA,18,%,39,%,,,-35,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4301,4301,43.01,2050s,NA,NA,28.8,%,75.1,%,-13.2,%,-1,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4301,4301,43.02,2080s,NA,NA,44.4,%,96.7,%,-17.1,%,-2,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4301,4301,43.03,2050s,NA,NA,40,%,88.4,%,-14.7,%,3.1,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4301,4301,43.04,2080s,NA,NA,125.1,%,231.3,%,-27.7,%,6.3,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4302,4302,43.01,2050s,NA,NA,23.4,%,40,%,-10.4,%,-2.1,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4302,4302,43.02,2080s,NA,NA,33.8,%,51.5,%,-11.5,%,-0.7,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4302,4302,43.03,2050s,NA,NA,32.5,%,48.2,%,-9.6,%,2.3,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4302,4302,43.04,2080s,NA,NA,93.5,%,102.1,%,-21.4,%,5.7,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
